Relation,Embedding,Projection
has_language,"[-0.01252074  0.03566851  0.01806153 ...  0.04112107 -0.0242095
  0.00445948]","[ 0.06427567  0.03465534  0.02658291 ... -0.02527969  0.04316344
  0.00937196]"
located_in,"[ 0.01078682  0.01562947 -0.04451064 ... -0.03834313  0.00085876
  0.03874726]","[ 0.00461818 -0.01017527 -0.00553783 ... -0.00482207 -0.05864843
  0.01632006]"
