Relation,Embedding
has_language,"[-0.03194856 -0.05141336 -0.0441665  ...  0.02632813 -0.01477253
  0.03150377]"
located_in,"[ 0.01616772 -0.01163066 -0.02621088 ...  0.04830095  0.03397702
  0.03721187]"
